year,dx
2006,4343
2007,21989
2008,98592
2009,73869
2010,80361
2011,82658
2012,88792
2013,89729
2014,97794
2015,97352
2016,156920
2017,136707
2018,134470
2019,150965
2020,171043
2021,201347
2022,167446

